n,pos_simd_ns,neg_scalar_ns,pos_simd_ns_per_limb,neg_scalar_ns_per_limb,neg_over_pos
3528,437.126744,1427.898674,0.123902138,0.404733184,3.266555
3536,439.700935,1430.402936,0.124349812,0.404525717,3.253127
3544,437.163081,1434.200284,0.123353014,0.404684053,3.280699
3552,437.747384,1436.577178,0.123239691,0.404441773,3.281749
3560,434.742911,1439.598011,0.122118795,0.404381464,3.311378
3568,434.922164,1446.025000,0.121895225,0.405276065,3.324790
3576,437.856250,1447.073077,0.122443023,0.404662494,3.304904
3584,439.156250,1451.327885,0.122532436,0.404946396,3.304810
3592,441.674296,1453.630288,0.122960550,0.404685492,3.291182
3600,445.832642,1456.981250,0.123842401,0.404717014,3.268000
3608,443.504275,1460.409135,0.122922471,0.404769716,3.292886
3616,440.071846,1463.678365,0.121701285,0.404778309,3.325999
3624,448.944677,1465.791992,0.123880982,0.404467989,3.264972
3632,445.693424,1471.832031,0.122712947,0.405240097,3.302342
