shape,an52,bn52,u52_ns,ref_core_ns,ref_full_ns,u52_ns_per_digit_product,ref_core_ns_per_digit_product,ref_full_ns_per_digit_product
an=4bn,86,22,128.681156,177.045696,241.579772,0.068013296,0.093575949,0.127684869
an=4bn,88,22,129.686722,178.011978,244.977562,0.066986943,0.091948336,0.126537997
an=4bn,90,23,139.048009,192.653042,262.634891,0.067172951,0.093069102,0.126876759
an=4bn,92,23,142.875618,194.021888,265.644653,0.067521559,0.091692764,0.125540951
an=4bn,94,24,147.921037,210.547856,284.852841,0.065567836,0.093327950,0.126264557
an=4bn,96,24,154.072044,215.723132,286.761468,0.066871547,0.093629832,0.124462443
an=4bn,98,25,163.462816,238.130949,305.409304,0.066719517,0.097196306,0.124656859
an=4bn,100,25,160.480182,232.352104,308.364242,0.064192073,0.092940842,0.123345697
an=4bn,102,26,172.140768,249.253399,316.405093,0.064909792,0.093986953,0.119308104
an=4bn,104,26,173.196379,243.568344,318.976722,0.064051915,0.090077050,0.117964764
an=4bn,106,27,180.472716,253.037230,333.431627,0.063058252,0.088412729,0.116503014
an=4bn,108,27,183.288940,256.111631,331.110035,0.062856290,0.087829778,0.113549395
an=4bn,110,28,194.302924,266.182188,344.413690,0.063085365,0.086422788,0.111822627
an=4bn,112,28,196.131668,267.009499,348.360995,0.062541986,0.085143335,0.111084501
an=4bn,114,29,208.396667,276.299816,362.246018,0.063035894,0.083575262,0.109572298
an=4bn,116,29,212.148756,283.513595,365.764348,0.063064434,0.084278714,0.108728998
an=4bn,118,30,221.785904,292.323306,376.326375,0.062651385,0.082577205,0.106306886
an=4bn,120,30,223.926387,290.956269,378.824597,0.062201774,0.080821186,0.105229055
an=4bn,122,31,232.759305,307.153288,399.855585,0.061543973,0.081214513,0.105725961
an=4bn,124,31,234.975799,314.897861,403.140021,0.061127939,0.081919319,0.104875136
an=4bn,126,32,245.877863,334.219306,426.438210,0.060981613,0.082891693,0.105763445
an=4bn,128,32,256.900856,340.455503,433.441676,0.062719936,0.083119019,0.105820722
an=4bn,130,33,281.990428,353.161772,439.474153,0.065732034,0.082322091,0.102441528
an=4bn,132,33,270.726135,350.538946,446.105450,0.062150169,0.080472669,0.102411720
an=4bn,134,34,280.955838,360.858774,455.057065,0.061667216,0.079205174,0.099880831
an=4bn,136,34,282.741717,365.554839,460.214308,0.061146565,0.079055977,0.099527316
an=4bn,138,35,297.571005,374.062375,477.805203,0.061608904,0.077445626,0.098924473
an=4bn,140,35,299.106389,382.350102,485.198776,0.061042120,0.078030633,0.099020158
an=4bn,142,36,308.342008,401.275240,493.627138,0.060317294,0.078496722,0.096562429
an=4bn,144,36,310.599545,392.775628,490.075195,0.059915036,0.075766903,0.094536110
an=4bn,146,37,326.082899,413.148678,513.177989,0.060363365,0.076480688,0.094997777
an=4bn,148,37,332.955341,417.457083,525.836767,0.060802655,0.076233945,0.096025706
an=4bn,150,38,340.435122,424.263433,534.339311,0.059725460,0.074432181,0.093743739
an=4bn,152,38,343.212591,425.833286,535.148615,0.059420462,0.073724599,0.092650383
an=4bn,154,39,357.713878,441.557952,552.393382,0.059559420,0.073519473,0.091973590
an=4bn,156,39,360.834736,443.295254,556.832840,0.059308799,0.072862468,0.091524135
an=4bn,158,40,374.658616,461.482077,564.099738,0.059281427,0.073019316,0.089256288
an=4bn,160,40,379.932566,463.210899,565.077748,0.059364463,0.072376703,0.088293398
an=4bn,162,41,393.493880,496.101356,597.261545,0.059243282,0.074691562,0.089921943
an=4bn,164,41,425.494627,517.084993,604.997379,0.063279986,0.076901397,0.089975815
an=4bn,166,42,408.955027,500.200798,608.099194,0.058656774,0.071744234,0.087220194
an=4bn,168,42,410.083242,502.741811,611.486607,0.058118373,0.071250257,0.086661934
an=4bn,170,43,423.030828,518.161775,633.991976,0.057870154,0.070883964,0.086729409
an=4bn,172,43,427.773153,520.529869,636.242610,0.057838447,0.070379917,0.086025231
an=4bn,174,44,440.962735,535.075817,650.689224,0.057597013,0.069889736,0.084990756
an=4bn,176,44,443.498968,540.232759,655.138021,0.057270011,0.069761462,0.084599435
an=4bn,178,45,458.351220,552.455882,671.816741,0.057222374,0.068970772,0.083872252
an=4bn,180,45,464.918162,560.875930,680.355299,0.057397304,0.069243942,0.083994481
an=4bn,182,46,475.856850,570.252083,691.944393,0.056839089,0.068114200,0.082649832
an=4bn,184,46,480.501754,576.144555,694.947917,0.056770056,0.068070009,0.082106323
